Listening to connections on 172.31.13.142:6001
Connected to 3.16.125.199:6000
852ms
752ms
652ms
552ms
502ms
402ms
603ms
453ms
352ms
252ms
202ms
703ms
804ms
153ms
304ms
Req_ID: 94 not received, duration: 30300ms
Req_ID: 302 not received, duration: 19880ms
Req_ID: 214 not received, duration: 24289ms
Req_ID: 272 not received, duration: 21383ms
Req_ID: 126 not received, duration: 28697ms
Req_ID: 590 not received, duration: 5451ms
Req_ID: 479 not received, duration: 11012ms
Req_ID: 16 not received, duration: 34209ms
Req_ID: 200 not received, duration: 24990ms
Req_ID: 418 not received, duration: 14068ms
Req_ID: 358 not received, duration: 17074ms
Req_ID: 484 not received, duration: 10762ms
Req_ID: 25 not received, duration: 33758ms
Req_ID: 84 not received, duration: 30802ms
Req_ID: 203 not received, duration: 24840ms
Req_ID: 91 not received, duration: 30451ms
Req_ID: 525 not received, duration: 8708ms
Req_ID: 322 not received, duration: 18878ms
Req_ID: 286 not received, duration: 20682ms
Req_ID: 268 not received, duration: 21584ms
Req_ID: 260 not received, duration: 21985ms
Req_ID: 147 not received, duration: 27646ms
Req_ID: 370 not received, duration: 16473ms
Req_ID: 193 not received, duration: 25341ms
Req_ID: 475 not received, duration: 11213ms
Req_ID: 542 not received, duration: 7856ms
Req_ID: 102 not received, duration: 29900ms
Req_ID: 477 not received, duration: 11113ms
Req_ID: 439 not received, duration: 13016ms
Req_ID: 150 not received, duration: 27496ms
Req_ID: 300 not received, duration: 19981ms
Req_ID: 451 not received, duration: 12415ms
Req_ID: 275 not received, duration: 21233ms
Req_ID: 158 not received, duration: 27095ms
Req_ID: 251 not received, duration: 22436ms
Req_ID: 44 not received, duration: 32806ms
Req_ID: 51 not received, duration: 32455ms
Req_ID: 253 not received, duration: 22336ms
Req_ID: 381 not received, duration: 15922ms
Req_ID: 216 not received, duration: 24189ms
Req_ID: 482 not received, duration: 10862ms
Req_ID: 262 not received, duration: 21885ms
Req_ID: 80 not received, duration: 31002ms
Req_ID: 470 not received, duration: 11464ms
Req_ID: 70 not received, duration: 31503ms
Req_ID: 59 not received, duration: 32055ms
Req_ID: 195 not received, duration: 25242ms
Req_ID: 152 not received, duration: 27396ms
Req_ID: 104 not received, duration: 29800ms
Req_ID: 430 not received, duration: 13468ms
Req_ID: 393 not received, duration: 15322ms
Req_ID: 108 not received, duration: 29600ms
Req_ID: 502 not received, duration: 9860ms
Req_ID: 183 not received, duration: 25843ms
Req_ID: 120 not received, duration: 28999ms
Req_ID: 78 not received, duration: 31103ms
Req_ID: 498 not received, duration: 10061ms
Req_ID: 420 not received, duration: 13969ms
Req_ID: 209 not received, duration: 24540ms
Req_ID: 372 not received, duration: 16374ms
Req_ID: 434 not received, duration: 13267ms
Req_ID: 187 not received, duration: 25643ms
Req_ID: 566 not received, duration: 6654ms
Req_ID: 354 not received, duration: 17276ms
Req_ID: 483 not received, duration: 10813ms
Req_ID: 471 not received, duration: 11414ms
Req_ID: 47 not received, duration: 32656ms
Req_ID: 157 not received, duration: 27146ms
Req_ID: 346 not received, duration: 17677ms
Req_ID: 398 not received, duration: 15071ms
Req_ID: 429 not received, duration: 13518ms
Req_ID: 133 not received, duration: 28348ms
Req_ID: 554 not received, duration: 7256ms
Req_ID: 329 not received, duration: 18528ms
Req_ID: 521 not received, duration: 8909ms
Req_ID: 416 not received, duration: 14170ms
Req_ID: 266 not received, duration: 21685ms
Req_ID: 520 not received, duration: 8959ms
Req_ID: 259 not received, duration: 22036ms
Req_ID: 379 not received, duration: 16023ms
Req_ID: 181 not received, duration: 25943ms
Req_ID: 54 not received, duration: 32306ms
Req_ID: 134 not received, duration: 28298ms
Req_ID: 440 not received, duration: 12967ms
Req_ID: 574 not received, duration: 6254ms
Req_ID: 559 not received, duration: 7005ms
Req_ID: 331 not received, duration: 18428ms
Req_ID: 101 not received, duration: 29951ms
Req_ID: 469 not received, duration: 11514ms
Req_ID: 288 not received, duration: 20583ms
Req_ID: 504 not received, duration: 9761ms
Req_ID: 333 not received, duration: 18328ms
Req_ID: 383 not received, duration: 15823ms
Req_ID: 410 not received, duration: 14471ms
Req_ID: 241 not received, duration: 22938ms
Req_ID: 317 not received, duration: 19130ms
Req_ID: 177 not received, duration: 26144ms
Req_ID: 77 not received, duration: 31154ms
Req_ID: 518 not received, duration: 9060ms
Req_ID: 220 not received, duration: 23990ms
Req_ID: 310 not received, duration: 19481ms
Req_ID: 510 not received, duration: 9460ms
Req_ID: 74 not received, duration: 31304ms
Req_ID: 55 not received, duration: 32256ms
Req_ID: 202 not received, duration: 24892ms
Req_ID: 52 not received, duration: 32406ms
Req_ID: 156 not received, duration: 27196ms
Req_ID: 68 not received, duration: 31605ms
Req_ID: 546 not received, duration: 7657ms
Req_ID: 145 not received, duration: 27747ms
Req_ID: 352 not received, duration: 17377ms
Req_ID: 197 not received, duration: 25142ms
Req_ID: 257 not received, duration: 22136ms
Req_ID: 424 not received, duration: 13769ms
Req_ID: 41 not received, duration: 32958ms
Req_ID: 162 not received, duration: 26896ms
Req_ID: 526 not received, duration: 8659ms
Req_ID: 170 not received, duration: 26495ms
Req_ID: 575 not received, duration: 6204ms
Req_ID: 88 not received, duration: 30603ms
Req_ID: 233 not received, duration: 23339ms
Req_ID: 163 not received, duration: 26846ms
Req_ID: 359 not received, duration: 17026ms
Req_ID: 411 not received, duration: 14421ms
Req_ID: 556 not received, duration: 7156ms
Req_ID: 436 not received, duration: 13168ms
Req_ID: 33 not received, duration: 33359ms
Req_ID: 586 not received, duration: 5653ms
Req_ID: 373 not received, duration: 16325ms
Req_ID: 446 not received, duration: 12667ms
Req_ID: 388 not received, duration: 15573ms
Req_ID: 236 not received, duration: 23189ms
Req_ID: 323 not received, duration: 18830ms
Req_ID: 148 not received, duration: 27597ms
Req_ID: 204 not received, duration: 24792ms
Req_ID: 38 not received, duration: 33108ms
Req_ID: 278 not received, duration: 21085ms
Req_ID: 282 not received, duration: 20884ms
Req_ID: 366 not received, duration: 16676ms
Req_ID: 20 not received, duration: 34010ms
Req_ID: 512 not received, duration: 9361ms
Req_ID: 240 not received, duration: 22989ms
Req_ID: 304 not received, duration: 19782ms
Req_ID: 594 not received, duration: 5253ms
Req_ID: 404 not received, duration: 14772ms
Req_ID: 351 not received, duration: 17427ms
Req_ID: 402 not received, duration: 14872ms
Req_ID: 386 not received, duration: 15674ms
Req_ID: 82 not received, duration: 30904ms
Req_ID: 473 not received, duration: 11315ms
Req_ID: 255 not received, duration: 22237ms
Req_ID: 254 not received, duration: 22287ms
Req_ID: 353 not received, duration: 17327ms
Req_ID: 423 not received, duration: 13820ms
Req_ID: 343 not received, duration: 17828ms
Req_ID: 555 not received, duration: 7207ms
Req_ID: 400 not received, duration: 14973ms
Req_ID: 435 not received, duration: 13219ms
Req_ID: 553 not received, duration: 7307ms
Req_ID: 53 not received, duration: 32357ms
Req_ID: 273 not received, duration: 21336ms
Req_ID: 28 not received, duration: 33610ms
Req_ID: 303 not received, duration: 19833ms
Req_ID: 371 not received, duration: 16425ms
Req_ID: 478 not received, duration: 11065ms
Req_ID: 249 not received, duration: 22538ms
Req_ID: 395 not received, duration: 15223ms
Req_ID: 21 not received, duration: 33961ms
Req_ID: 438 not received, duration: 13069ms
Req_ID: 199 not received, duration: 25043ms
Req_ID: 543 not received, duration: 7808ms
Req_ID: 139 not received, duration: 28049ms
Req_ID: 92 not received, duration: 30403ms
Req_ID: 544 not received, duration: 7758ms
Req_ID: 119 not received, duration: 29051ms
Req_ID: 443 not received, duration: 12818ms
Req_ID: 172 not received, duration: 26396ms
Req_ID: 276 not received, duration: 21186ms
Req_ID: 578 not received, duration: 6055ms
Req_ID: 211 not received, duration: 24442ms
Req_ID: 308 not received, duration: 19582ms
Req_ID: 56 not received, duration: 32207ms
Req_ID: 226 not received, duration: 23691ms
Req_ID: 299 not received, duration: 20033ms
Req_ID: 62 not received, duration: 31907ms
Req_ID: 392 not received, duration: 15374ms
Req_ID: 15 not received, duration: 34262ms
Req_ID: 467 not received, duration: 11616ms
Req_ID: 545 not received, duration: 7708ms
Req_ID: 34 not received, duration: 33310ms
Req_ID: 112 not received, duration: 29402ms
Req_ID: 85 not received, duration: 30754ms
Req_ID: 135 not received, duration: 28249ms
Req_ID: 122 not received, duration: 28901ms
Req_ID: 597 not received, duration: 5103ms
Req_ID: 219 not received, duration: 24041ms
Req_ID: 338 not received, duration: 18079ms
Req_ID: 173 not received, duration: 26346ms
Req_ID: 29 not received, duration: 33560ms
Req_ID: 69 not received, duration: 31556ms
Req_ID: 455 not received, duration: 12217ms
Req_ID: 598 not received, duration: 5053ms
Req_ID: 562 not received, duration: 6857ms
Req_ID: 19 not received, duration: 34061ms
Req_ID: 330 not received, duration: 18480ms
Req_ID: 48 not received, duration: 32608ms
Req_ID: 342 not received, duration: 17879ms
Req_ID: 131 not received, duration: 28450ms
Req_ID: 230 not received, duration: 23490ms
Req_ID: 345 not received, duration: 17729ms
Req_ID: 306 not received, duration: 19683ms
Req_ID: 481 not received, duration: 10915ms
Req_ID: 570 not received, duration: 6456ms
Req_ID: 396 not received, duration: 15173ms
Req_ID: 466 not received, duration: 11666ms
Req_ID: 49 not received, duration: 32558ms
Req_ID: 90 not received, duration: 30504ms
Req_ID: 224 not received, duration: 23791ms
Req_ID: 239 not received, duration: 23040ms
Req_ID: 194 not received, duration: 25294ms
Req_ID: 248 not received, duration: 22589ms
Req_ID: 325 not received, duration: 18731ms
Req_ID: 350 not received, duration: 17478ms
Req_ID: 405 not received, duration: 14723ms
Req_ID: 452 not received, duration: 12368ms
Req_ID: 378 not received, duration: 16075ms
Req_ID: 453 not received, duration: 12318ms
Req_ID: 501 not received, duration: 9913ms
Req_ID: 179 not received, duration: 26045ms
Req_ID: 472 not received, duration: 11366ms
Req_ID: 42 not received, duration: 32909ms
Req_ID: 437 not received, duration: 13119ms
Req_ID: 580 not received, duration: 5955ms
Req_ID: 167 not received, duration: 26647ms
Req_ID: 143 not received, duration: 27849ms
Req_ID: 237 not received, duration: 23140ms
Req_ID: 365 not received, duration: 16727ms
Req_ID: 355 not received, duration: 17228ms
Req_ID: 159 not received, duration: 27047ms
Req_ID: 558 not received, duration: 7057ms
Req_ID: 274 not received, duration: 21286ms
Req_ID: 442 not received, duration: 12869ms
Req_ID: 198 not received, duration: 25094ms
Req_ID: 587 not received, duration: 5604ms
Req_ID: 66 not received, duration: 31706ms
Req_ID: 463 not received, duration: 11817ms
Req_ID: 589 not received, duration: 5504ms
Req_ID: 499 not received, duration: 10013ms
Req_ID: 403 not received, duration: 14823ms
Req_ID: 454 not received, duration: 12268ms
Req_ID: 269 not received, duration: 21537ms
Req_ID: 166 not received, duration: 26697ms
Req_ID: 401 not received, duration: 14923ms
Req_ID: 419 not received, duration: 14021ms
Req_ID: 425 not received, duration: 13721ms
Req_ID: 314 not received, duration: 19282ms
Req_ID: 123 not received, duration: 28851ms
Req_ID: 39 not received, duration: 33059ms
Req_ID: 433 not received, duration: 13320ms
Req_ID: 408 not received, duration: 14572ms
Req_ID: 250 not received, duration: 22488ms
Req_ID: 549 not received, duration: 7508ms
Req_ID: 245 not received, duration: 22739ms
Req_ID: 234 not received, duration: 23290ms
Req_ID: 229 not received, duration: 23541ms
Req_ID: 494 not received, duration: 10264ms
Req_ID: 279 not received, duration: 21036ms
