Listening to connections on 172.31.3.162:6001
Connected to 54.183.230.57:6000
861ms
1112ms
561ms
1162ms
711ms
762ms
511ms
1363ms
1213ms
1564ms
662ms
1264ms
1514ms
362ms
261ms
1063ms
813ms
212ms
613ms
1465ms
462ms
914ms
1315ms
1415ms
413ms
964ms
1014ms
313ms
Req_ID: 469 not received, duration: 11515ms
Req_ID: 412 not received, duration: 14371ms
Req_ID: 95 not received, duration: 30256ms
Req_ID: 459 not received, duration: 12017ms
Req_ID: 45 not received, duration: 32761ms
Req_ID: 188 not received, duration: 25597ms
Req_ID: 110 not received, duration: 29505ms
Req_ID: 260 not received, duration: 21990ms
Req_ID: 297 not received, duration: 20133ms
Req_ID: 596 not received, duration: 5150ms
Req_ID: 322 not received, duration: 18881ms
Req_ID: 73 not received, duration: 31358ms
Req_ID: 436 not received, duration: 13169ms
Req_ID: 59 not received, duration: 32060ms
Req_ID: 438 not received, duration: 13069ms
Req_ID: 523 not received, duration: 8808ms
Req_ID: 139 not received, duration: 28052ms
Req_ID: 480 not received, duration: 10962ms
Req_ID: 563 not received, duration: 6804ms
Req_ID: 587 not received, duration: 5601ms
Req_ID: 291 not received, duration: 20434ms
Req_ID: 128 not received, duration: 28603ms
Req_ID: 353 not received, duration: 17328ms
Req_ID: 83 not received, duration: 30858ms
Req_ID: 500 not received, duration: 9960ms
Req_ID: 593 not received, duration: 5301ms
Req_ID: 77 not received, duration: 31159ms
Req_ID: 591 not received, duration: 5401ms
Req_ID: 540 not received, duration: 7956ms
Req_ID: 340 not received, duration: 17980ms
Req_ID: 476 not received, duration: 11166ms
Req_ID: 131 not received, duration: 28453ms
Req_ID: 378 not received, duration: 16076ms
Req_ID: 155 not received, duration: 27251ms
Req_ID: 81 not received, duration: 30958ms
Req_ID: 229 not received, duration: 23544ms
Req_ID: 391 not received, duration: 15424ms
Req_ID: 545 not received, duration: 7706ms
Req_ID: 329 not received, duration: 18531ms
Req_ID: 580 not received, duration: 5953ms
Req_ID: 72 not received, duration: 31409ms
Req_ID: 244 not received, duration: 22792ms
Req_ID: 257 not received, duration: 22141ms
Req_ID: 102 not received, duration: 29906ms
Req_ID: 54 not received, duration: 32311ms
Req_ID: 526 not received, duration: 8658ms
Req_ID: 503 not received, duration: 9811ms
Req_ID: 309 not received, duration: 19533ms
Req_ID: 301 not received, duration: 19934ms
Req_ID: 528 not received, duration: 8558ms
Req_ID: 245 not received, duration: 22743ms
Req_ID: 328 not received, duration: 18581ms
Req_ID: 174 not received, duration: 26300ms
Req_ID: 66 not received, duration: 31710ms
Req_ID: 385 not received, duration: 15725ms
Req_ID: 401 not received, duration: 14924ms
Req_ID: 437 not received, duration: 13120ms
Req_ID: 574 not received, duration: 6253ms
Req_ID: 446 not received, duration: 12669ms
Req_ID: 89 not received, duration: 30558ms
Req_ID: 280 not received, duration: 20986ms
Req_ID: 50 not received, duration: 32512ms
Req_ID: 191 not received, duration: 25448ms
Req_ID: 394 not received, duration: 15274ms
Req_ID: 90 not received, duration: 30508ms
Req_ID: 49 not received, duration: 32562ms
Req_ID: 370 not received, duration: 16477ms
Req_ID: 156 not received, duration: 27202ms
Req_ID: 195 not received, duration: 25248ms
Req_ID: 387 not received, duration: 15625ms
Req_ID: 481 not received, duration: 10913ms
Req_ID: 534 not received, duration: 8258ms
Req_ID: 234 not received, duration: 23294ms
Req_ID: 189 not received, duration: 25548ms
Req_ID: 292 not received, duration: 20385ms
Req_ID: 388 not received, duration: 15575ms
Req_ID: 208 not received, duration: 24597ms
Req_ID: 61 not received, duration: 31961ms
Req_ID: 472 not received, duration: 11367ms
Req_ID: 277 not received, duration: 21140ms
Req_ID: 321 not received, duration: 18932ms
Req_ID: 116 not received, duration: 29205ms
Req_ID: 55 not received, duration: 32262ms
Req_ID: 355 not received, duration: 17229ms
Req_ID: 509 not received, duration: 9511ms
Req_ID: 211 not received, duration: 24446ms
Req_ID: 464 not received, duration: 11768ms
Req_ID: 242 not received, duration: 22893ms
Req_ID: 165 not received, duration: 26751ms
Req_ID: 567 not received, duration: 6605ms
Req_ID: 423 not received, duration: 13822ms
Req_ID: 254 not received, duration: 22292ms
Req_ID: 273 not received, duration: 21340ms
Req_ID: 337 not received, duration: 18131ms
Req_ID: 287 not received, duration: 20636ms
Req_ID: 544 not received, duration: 7757ms
Req_ID: 499 not received, duration: 10012ms
Req_ID: 160 not received, duration: 27002ms
Req_ID: 124 not received, duration: 28805ms
Req_ID: 142 not received, duration: 27903ms
Req_ID: 40 not received, duration: 33014ms
Req_ID: 120 not received, duration: 29005ms
Req_ID: 402 not received, duration: 14874ms
Req_ID: 479 not received, duration: 11014ms
Req_ID: 350 not received, duration: 17480ms
Req_ID: 449 not received, duration: 12519ms
Req_ID: 307 not received, duration: 19634ms
Req_ID: 115 not received, duration: 29256ms
Req_ID: 517 not received, duration: 9110ms
Req_ID: 222 not received, duration: 23896ms
Req_ID: 30 not received, duration: 33515ms
Req_ID: 129 not received, duration: 28555ms
Req_ID: 525 not received, duration: 8709ms
Req_ID: 429 not received, duration: 13522ms
Req_ID: 323 not received, duration: 18833ms
Req_ID: 304 not received, duration: 19785ms
Req_ID: 417 not received, duration: 14123ms
Req_ID: 121 not received, duration: 28956ms
Req_ID: 227 not received, duration: 23645ms
Req_ID: 37 not received, duration: 33164ms
Req_ID: 105 not received, duration: 29757ms
Req_ID: 180 not received, duration: 26000ms
Req_ID: 288 not received, duration: 20586ms
Req_ID: 349 not received, duration: 17530ms
Req_ID: 182 not received, duration: 25900ms
Req_ID: 220 not received, duration: 23996ms
Req_ID: 572 not received, duration: 6355ms
Req_ID: 583 not received, duration: 5804ms
Req_ID: 130 not received, duration: 28505ms
Req_ID: 345 not received, duration: 17731ms
Req_ID: 75 not received, duration: 31260ms
Req_ID: 159 not received, duration: 27052ms
Req_ID: 351 not received, duration: 17430ms
Req_ID: 484 not received, duration: 10764ms
Req_ID: 164 not received, duration: 26802ms
Req_ID: 261 not received, duration: 21942ms
Req_ID: 314 not received, duration: 19284ms
Req_ID: 299 not received, duration: 20035ms
Req_ID: 175 not received, duration: 26251ms
Req_ID: 425 not received, duration: 13722ms
Req_ID: 166 not received, duration: 26702ms
Req_ID: 381 not received, duration: 15927ms
Req_ID: 252 not received, duration: 22393ms
Req_ID: 42 not received, duration: 32914ms
Req_ID: 60 not received, duration: 32012ms
Req_ID: 233 not received, duration: 23345ms
Req_ID: 149 not received, duration: 27553ms
Req_ID: 531 not received, duration: 8409ms
Req_ID: 99 not received, duration: 30058ms
Req_ID: 356 not received, duration: 17180ms
Req_ID: 168 not received, duration: 26602ms
Req_ID: 240 not received, duration: 22995ms
Req_ID: 263 not received, duration: 21842ms
Req_ID: 192 not received, duration: 25399ms
Req_ID: 551 not received, duration: 7407ms
Req_ID: 132 not received, duration: 28405ms
Req_ID: 312 not received, duration: 19385ms
Req_ID: 34 not received, duration: 33315ms
Req_ID: 119 not received, duration: 29056ms
Req_ID: 74 not received, duration: 31311ms
Req_ID: 210 not received, duration: 24498ms
Req_ID: 87 not received, duration: 30660ms
Req_ID: 68 not received, duration: 31612ms
Req_ID: 223 not received, duration: 23847ms
Req_ID: 341 not received, duration: 17932ms
Req_ID: 427 not received, duration: 13623ms
Req_ID: 386 not received, duration: 15677ms
Req_ID: 334 not received, duration: 18282ms
Req_ID: 506 not received, duration: 9662ms
Req_ID: 539 not received, duration: 8009ms
Req_ID: 558 not received, duration: 7057ms
Req_ID: 560 not received, duration: 6957ms
Req_ID: 358 not received, duration: 17080ms
Req_ID: 100 not received, duration: 30009ms
Req_ID: 114 not received, duration: 29307ms
Req_ID: 553 not received, duration: 7307ms
Req_ID: 535 not received, duration: 8209ms
Req_ID: 598 not received, duration: 5053ms
Req_ID: 230 not received, duration: 23496ms
Req_ID: 127 not received, duration: 28656ms
Req_ID: 346 not received, duration: 17681ms
Req_ID: 466 not received, duration: 11669ms
Req_ID: 186 not received, duration: 25700ms
Req_ID: 302 not received, duration: 19886ms
Req_ID: 369 not received, duration: 16529ms
Req_ID: 460 not received, duration: 11970ms
Req_ID: 94 not received, duration: 30309ms
Req_ID: 368 not received, duration: 16579ms
Req_ID: 303 not received, duration: 19836ms
Req_ID: 473 not received, duration: 11318ms
Req_ID: 172 not received, duration: 26402ms
Req_ID: 550 not received, duration: 7458ms
Req_ID: 400 not received, duration: 14976ms
Req_ID: 441 not received, duration: 12922ms
Req_ID: 527 not received, duration: 8610ms
Req_ID: 246 not received, duration: 22695ms
Req_ID: 320 not received, duration: 18984ms
Req_ID: 512 not received, duration: 9362ms
Req_ID: 35 not received, duration: 33266ms
Req_ID: 559 not received, duration: 7007ms
Req_ID: 58 not received, duration: 32113ms
Req_ID: 502 not received, duration: 9863ms
Req_ID: 522 not received, duration: 8861ms
Req_ID: 389 not received, duration: 15527ms
Req_ID: 453 not received, duration: 12320ms
Req_ID: 92 not received, duration: 30410ms
Req_ID: 262 not received, duration: 21893ms
Req_ID: 281 not received, duration: 20938ms
Req_ID: 365 not received, duration: 16730ms
Req_ID: 199 not received, duration: 25049ms
Req_ID: 282 not received, duration: 20888ms
Req_ID: 272 not received, duration: 21392ms
Req_ID: 470 not received, duration: 11469ms
Req_ID: 565 not received, duration: 6706ms
Req_ID: 414 not received, duration: 14274ms
Req_ID: 495 not received, duration: 10214ms
Req_ID: 573 not received, duration: 6306ms
Req_ID: 568 not received, duration: 6556ms
Req_ID: 78 not received, duration: 31111ms
Req_ID: 101 not received, duration: 29959ms
Req_ID: 413 not received, duration: 14324ms
Req_ID: 516 not received, duration: 9162ms
Req_ID: 171 not received, duration: 26452ms
Req_ID: 327 not received, duration: 18634ms
Req_ID: 286 not received, duration: 20688ms
Req_ID: 32 not received, duration: 33416ms
Req_ID: 117 not received, duration: 29157ms
Req_ID: 335 not received, duration: 18233ms
Req_ID: 468 not received, duration: 11569ms
Req_ID: 579 not received, duration: 6005ms
Req_ID: 375 not received, duration: 16229ms
Req_ID: 200 not received, duration: 24999ms
Req_ID: 352 not received, duration: 17381ms
Req_ID: 434 not received, duration: 13272ms
Req_ID: 363 not received, duration: 16830ms
Req_ID: 581 not received, duration: 5905ms
Req_ID: 157 not received, duration: 27153ms
Req_ID: 511 not received, duration: 9412ms
Req_ID: 56 not received, duration: 32213ms
Req_ID: 28 not received, duration: 33616ms
Req_ID: 267 not received, duration: 21643ms
Req_ID: 80 not received, duration: 31011ms
Req_ID: 398 not received, duration: 15076ms
Req_ID: 141 not received, duration: 27955ms
Req_ID: 201 not received, duration: 24949ms
Req_ID: 125 not received, duration: 28756ms
Req_ID: 298 not received, duration: 20086ms
Req_ID: 367 not received, duration: 16629ms
Req_ID: 313 not received, duration: 19335ms
Req_ID: 43 not received, duration: 32865ms
Req_ID: 108 not received, duration: 29608ms
Req_ID: 265 not received, duration: 21743ms
Req_ID: 404 not received, duration: 14775ms
Req_ID: 547 not received, duration: 7608ms
Req_ID: 53 not received, duration: 32364ms
Req_ID: 126 not received, duration: 28706ms
Req_ID: 487 not received, duration: 10615ms
Req_ID: 332 not received, duration: 18383ms
Req_ID: 324 not received, duration: 18784ms
Req_ID: 294 not received, duration: 20287ms
Req_ID: 533 not received, duration: 8310ms
Req_ID: 575 not received, duration: 6206ms
Req_ID: 420 not received, duration: 13974ms
Req_ID: 270 not received, duration: 21492ms
Req_ID: 103 not received, duration: 29859ms
