Listening to connections on 172.31.41.11:6001
Connected to 54.147.189.19:6000
74ms
67ms
1355ms
1405ms
1305ms
1004ms
1105ms
1055ms
754ms
253ms
454ms
905ms
955ms
1256ms
655ms
1206ms
204ms
104ms
304ms
605ms
555ms
405ms
705ms
1157ms
806ms
54ms
355ms
505ms
154ms
856ms
Req_ID: 444 not received, duration: 12768ms
Req_ID: 109 not received, duration: 29557ms
Req_ID: 216 not received, duration: 24196ms
Req_ID: 156 not received, duration: 27202ms
Req_ID: 412 not received, duration: 14371ms
Req_ID: 258 not received, duration: 22091ms
Req_ID: 92 not received, duration: 30409ms
Req_ID: 382 not received, duration: 15875ms
Req_ID: 507 not received, duration: 9611ms
Req_ID: 278 not received, duration: 21089ms
Req_ID: 584 not received, duration: 5752ms
Req_ID: 164 not received, duration: 26801ms
Req_ID: 352 not received, duration: 17379ms
Req_ID: 493 not received, duration: 10313ms
Req_ID: 44 not received, duration: 32816ms
Req_ID: 52 not received, duration: 32415ms
Req_ID: 376 not received, duration: 16176ms
Req_ID: 203 not received, duration: 24848ms
Req_ID: 391 not received, duration: 15424ms
Req_ID: 532 not received, duration: 8359ms
Req_ID: 222 not received, duration: 23896ms
Req_ID: 539 not received, duration: 8008ms
Req_ID: 595 not received, duration: 5201ms
Req_ID: 263 not received, duration: 21841ms
Req_ID: 322 not received, duration: 18885ms
Req_ID: 227 not received, duration: 23645ms
Req_ID: 460 not received, duration: 11967ms
Req_ID: 213 not received, duration: 24347ms
Req_ID: 244 not received, duration: 22794ms
Req_ID: 580 not received, duration: 5953ms
Req_ID: 446 not received, duration: 12668ms
Req_ID: 339 not received, duration: 18030ms
Req_ID: 114 not received, duration: 29308ms
Req_ID: 116 not received, duration: 29207ms
Req_ID: 331 not received, duration: 18432ms
Req_ID: 508 not received, duration: 9561ms
Req_ID: 144 not received, duration: 27804ms
Req_ID: 390 not received, duration: 15475ms
Req_ID: 455 not received, duration: 12217ms
Req_ID: 506 not received, duration: 9662ms
Req_ID: 199 not received, duration: 25048ms
Req_ID: 153 not received, duration: 27353ms
Req_ID: 267 not received, duration: 21641ms
Req_ID: 505 not received, duration: 9712ms
Req_ID: 219 not received, duration: 24046ms
Req_ID: 510 not received, duration: 9461ms
Req_ID: 477 not received, duration: 11115ms
Req_ID: 175 not received, duration: 26251ms
Req_ID: 282 not received, duration: 20890ms
Req_ID: 127 not received, duration: 28656ms
Req_ID: 568 not received, duration: 6555ms
Req_ID: 85 not received, duration: 30761ms
Req_ID: 343 not received, duration: 17830ms
Req_ID: 135 not received, duration: 28255ms
Req_ID: 405 not received, duration: 14723ms
Req_ID: 587 not received, duration: 5603ms
Req_ID: 290 not received, duration: 20489ms
Req_ID: 326 not received, duration: 18685ms
Req_ID: 292 not received, duration: 20389ms
Req_ID: 341 not received, duration: 17931ms
Req_ID: 381 not received, duration: 15926ms
Req_ID: 104 not received, duration: 29809ms
Req_ID: 246 not received, duration: 22694ms
Req_ID: 459 not received, duration: 12017ms
Req_ID: 485 not received, duration: 10715ms
Req_ID: 406 not received, duration: 14673ms
Req_ID: 189 not received, duration: 25550ms
Req_ID: 250 not received, duration: 22494ms
Req_ID: 193 not received, duration: 25349ms
Req_ID: 231 not received, duration: 23446ms
Req_ID: 106 not received, duration: 29709ms
Req_ID: 470 not received, duration: 11466ms
Req_ID: 512 not received, duration: 9362ms
Req_ID: 531 not received, duration: 8410ms
Req_ID: 284 not received, duration: 20790ms
Req_ID: 297 not received, duration: 20139ms
Req_ID: 291 not received, duration: 20439ms
Req_ID: 578 not received, duration: 6054ms
Req_ID: 551 not received, duration: 7407ms
Req_ID: 392 not received, duration: 15375ms
Req_ID: 115 not received, duration: 29258ms
Req_ID: 526 not received, duration: 8660ms
Req_ID: 430 not received, duration: 13471ms
Req_ID: 32 not received, duration: 33418ms
Req_ID: 516 not received, duration: 9161ms
Req_ID: 453 not received, duration: 12319ms
Req_ID: 418 not received, duration: 14072ms
Req_ID: 140 not received, duration: 28005ms
Req_ID: 420 not received, duration: 13972ms
Req_ID: 89 not received, duration: 30562ms
Req_ID: 202 not received, duration: 24899ms
Req_ID: 336 not received, duration: 18182ms
Req_ID: 434 not received, duration: 13271ms
Req_ID: 533 not received, duration: 8310ms
Req_ID: 166 not received, duration: 26703ms
Req_ID: 363 not received, duration: 16829ms
Req_ID: 224 not received, duration: 23797ms
Req_ID: 415 not received, duration: 14223ms
Req_ID: 31 not received, duration: 33469ms
Req_ID: 456 not received, duration: 12168ms
Req_ID: 535 not received, duration: 8210ms
Req_ID: 545 not received, duration: 7708ms
Req_ID: 257 not received, duration: 22143ms
Req_ID: 397 not received, duration: 15125ms
Req_ID: 379 not received, duration: 16027ms
Req_ID: 564 not received, duration: 6756ms
Req_ID: 138 not received, duration: 28106ms
Req_ID: 530 not received, duration: 8460ms
Req_ID: 384 not received, duration: 15777ms
Req_ID: 525 not received, duration: 8711ms
Req_ID: 329 not received, duration: 18534ms
Req_ID: 78 not received, duration: 31113ms
Req_ID: 161 not received, duration: 26954ms
Req_ID: 321 not received, duration: 18937ms
Req_ID: 215 not received, duration: 24248ms
Req_ID: 46 not received, duration: 32717ms
Req_ID: 304 not received, duration: 19789ms
Req_ID: 233 not received, duration: 23346ms
Req_ID: 101 not received, duration: 29960ms
Req_ID: 248 not received, duration: 22595ms
Req_ID: 47 not received, duration: 32667ms
Req_ID: 174 not received, duration: 26302ms
Req_ID: 82 not received, duration: 30913ms
Req_ID: 59 not received, duration: 32066ms
Req_ID: 424 not received, duration: 13772ms
Req_ID: 518 not received, duration: 9062ms
Req_ID: 74 not received, duration: 31314ms
Req_ID: 226 not received, duration: 23697ms
Req_ID: 286 not received, duration: 20691ms
Req_ID: 88 not received, duration: 30612ms
Req_ID: 60 not received, duration: 32016ms
Req_ID: 87 not received, duration: 30662ms
Req_ID: 196 not received, duration: 25200ms
Req_ID: 228 not received, duration: 23597ms
Req_ID: 543 not received, duration: 7809ms
Req_ID: 458 not received, duration: 12069ms
Req_ID: 310 not received, duration: 19488ms
Req_ID: 447 not received, duration: 12620ms
Req_ID: 457 not received, duration: 12119ms
Req_ID: 463 not received, duration: 11818ms
Req_ID: 150 not received, duration: 27505ms
Req_ID: 572 not received, duration: 6356ms
Req_ID: 236 not received, duration: 23196ms
Req_ID: 408 not received, duration: 14574ms
Req_ID: 361 not received, duration: 16930ms
Req_ID: 527 not received, duration: 8611ms
Req_ID: 511 not received, duration: 9413ms
Req_ID: 561 not received, duration: 6907ms
Req_ID: 461 not received, duration: 11919ms
Req_ID: 325 not received, duration: 18737ms
Req_ID: 182 not received, duration: 25902ms
Req_ID: 465 not received, duration: 11718ms
Req_ID: 563 not received, duration: 6807ms
Req_ID: 387 not received, duration: 15627ms
Req_ID: 300 not received, duration: 19990ms
Req_ID: 342 not received, duration: 17882ms
Req_ID: 515 not received, duration: 9213ms
Req_ID: 288 not received, duration: 20591ms
Req_ID: 483 not received, duration: 10816ms
Req_ID: 35 not received, duration: 33269ms
Req_ID: 79 not received, duration: 31064ms
Req_ID: 303 not received, duration: 19839ms
Req_ID: 385 not received, duration: 15727ms
Req_ID: 433 not received, duration: 13322ms
Req_ID: 180 not received, duration: 26003ms
Req_ID: 171 not received, duration: 26453ms
Req_ID: 51 not received, duration: 32468ms
Req_ID: 414 not received, duration: 14274ms
Req_ID: 251 not received, duration: 22445ms
Req_ID: 209 not received, duration: 24550ms
Req_ID: 191 not received, duration: 25451ms
Req_ID: 289 not received, duration: 20541ms
Req_ID: 469 not received, duration: 11518ms
Req_ID: 577 not received, duration: 6106ms
Req_ID: 184 not received, duration: 25802ms
Req_ID: 198 not received, duration: 25101ms
Req_ID: 218 not received, duration: 24099ms
Req_ID: 259 not received, duration: 22045ms
Req_ID: 247 not received, duration: 22646ms
Req_ID: 327 not received, duration: 18637ms
Req_ID: 367 not received, duration: 16630ms
Req_ID: 48 not received, duration: 32618ms
Req_ID: 555 not received, duration: 7209ms
Req_ID: 119 not received, duration: 29059ms
Req_ID: 129 not received, duration: 28558ms
Req_ID: 269 not received, duration: 21543ms
Req_ID: 188 not received, duration: 25602ms
Req_ID: 271 not received, duration: 21443ms
Req_ID: 158 not received, duration: 27105ms
Req_ID: 223 not received, duration: 23848ms
Req_ID: 323 not received, duration: 18837ms
Req_ID: 71 not received, duration: 31465ms
Req_ID: 522 not received, duration: 8862ms
Req_ID: 185 not received, duration: 25752ms
Req_ID: 37 not received, duration: 33169ms
Req_ID: 565 not received, duration: 6707ms
Req_ID: 473 not received, duration: 11318ms
Req_ID: 452 not received, duration: 12370ms
Req_ID: 330 not received, duration: 18485ms
Req_ID: 200 not received, duration: 25001ms
Req_ID: 364 not received, duration: 16780ms
Req_ID: 232 not received, duration: 23397ms
Req_ID: 389 not received, duration: 15527ms
Req_ID: 494 not received, duration: 10265ms
Req_ID: 311 not received, duration: 19439ms
Req_ID: 122 not received, duration: 28909ms
Req_ID: 69 not received, duration: 31566ms
Req_ID: 133 not received, duration: 28358ms
Req_ID: 121 not received, duration: 28959ms
Req_ID: 277 not received, duration: 21143ms
Req_ID: 487 not received, duration: 10616ms
Req_ID: 280 not received, duration: 20992ms
Req_ID: 62 not received, duration: 31916ms
Req_ID: 243 not received, duration: 22846ms
Req_ID: 333 not received, duration: 18334ms
Req_ID: 386 not received, duration: 15678ms
Req_ID: 427 not received, duration: 13623ms
Req_ID: 436 not received, duration: 13172ms
Req_ID: 262 not received, duration: 21894ms
Req_ID: 120 not received, duration: 29009ms
Req_ID: 464 not received, duration: 11769ms
Req_ID: 179 not received, duration: 26053ms
Req_ID: 268 not received, duration: 21594ms
Req_ID: 372 not received, duration: 16379ms
Req_ID: 404 not received, duration: 14776ms
Req_ID: 484 not received, duration: 10767ms
