Listening to connections on 172.31.21.227:6001
Connected to 3.96.160.85:6000
911ms
560ms
861ms
761ms
811ms
510ms
660ms
711ms
460ms
410ms
310ms
611ms
260ms
160ms
360ms
210ms
Req_ID: 51 not received, duration: 32456ms
Req_ID: 264 not received, duration: 21785ms
Req_ID: 428 not received, duration: 13569ms
Req_ID: 248 not received, duration: 22587ms
Req_ID: 251 not received, duration: 22437ms
Req_ID: 555 not received, duration: 7204ms
Req_ID: 109 not received, duration: 29550ms
Req_ID: 541 not received, duration: 7908ms
Req_ID: 240 not received, duration: 22988ms
Req_ID: 310 not received, duration: 19481ms
Req_ID: 421 not received, duration: 13920ms
Req_ID: 27 not received, duration: 33659ms
Req_ID: 38 not received, duration: 33108ms
Req_ID: 309 not received, duration: 19531ms
Req_ID: 544 not received, duration: 7758ms
Req_ID: 98 not received, duration: 30102ms
Req_ID: 297 not received, duration: 20133ms
Req_ID: 21 not received, duration: 33960ms
Req_ID: 447 not received, duration: 12617ms
Req_ID: 469 not received, duration: 11515ms
Req_ID: 205 not received, duration: 24742ms
Req_ID: 598 not received, duration: 5050ms
Req_ID: 480 not received, duration: 10964ms
Req_ID: 23 not received, duration: 33859ms
Req_ID: 593 not received, duration: 5301ms
Req_ID: 462 not received, duration: 11866ms
Req_ID: 474 not received, duration: 11265ms
Req_ID: 346 not received, duration: 17678ms
Req_ID: 504 not received, duration: 9762ms
Req_ID: 542 not received, duration: 7858ms
Req_ID: 336 not received, duration: 18179ms
Req_ID: 37 not received, duration: 33158ms
Req_ID: 106 not received, duration: 29701ms
Req_ID: 442 not received, duration: 12868ms
Req_ID: 45 not received, duration: 32758ms
Req_ID: 183 not received, duration: 25844ms
Req_ID: 244 not received, duration: 22788ms
Req_ID: 210 not received, duration: 24492ms
Req_ID: 497 not received, duration: 10113ms
Req_ID: 31 not received, duration: 33459ms
Req_ID: 591 not received, duration: 5401ms
Req_ID: 192 not received, duration: 25393ms
Req_ID: 277 not received, duration: 21135ms
Req_ID: 446 not received, duration: 12668ms
Req_ID: 136 not received, duration: 28199ms
Req_ID: 459 not received, duration: 12017ms
Req_ID: 464 not received, duration: 11766ms
Req_ID: 50 not received, duration: 32507ms
Req_ID: 234 not received, duration: 23289ms
Req_ID: 118 not received, duration: 29100ms
Req_ID: 231 not received, duration: 23440ms
Req_ID: 580 not received, duration: 5953ms
Req_ID: 320 not received, duration: 18981ms
Req_ID: 59 not received, duration: 32056ms
Req_ID: 200 not received, duration: 24993ms
Req_ID: 219 not received, duration: 24041ms
Req_ID: 188 not received, duration: 25594ms
Req_ID: 53 not received, duration: 32357ms
Req_ID: 411 not received, duration: 14422ms
Req_ID: 232 not received, duration: 23390ms
Req_ID: 291 not received, duration: 20434ms
Req_ID: 494 not received, duration: 10263ms
Req_ID: 452 not received, duration: 12368ms
